CodMunicipio;Municipi;Casos PCR+;Incidencia PCR+;PCR+ 14d;Incd PCR+14;Defuncions;Taxa defuncio
46001;Ademuz; 460; 44358,73; 19; 1832,21; 2; 192,86
46002;Ador; 760; 43930,64; 50; 2890,17; 5; 289,02
3001;Adsubia; 36; 5891,98; 1; 163,67; 1; 163,67
3002;Agost; 1067; 22256,99; 72; 1501,88; 11; 229,45
3003;Agres; 73; 12943,26; 4; 709,22; 1; 177,3
46004;Agullent; 338; 14154,1; 22; 921,27; 3; 125,63
46042;Aielo de Malferit; 948; 20497,3; 69; 1491,89; 6; 129,73
46043;Aielo de Rugat; 12; 7500,0; 1; 625,0; 0; 0,0
3004;Aigues; 113; 11460,45; 6; 608,52; 0; 0,0
46005;Alaquas; 7527; 25334,05; 567; 1908,38; 64; 215,41
46006;Albaida; 1861; 31467,7; 100; 1690,9; 16; 270,54
46007;Albal; 3802; 22935,39; 313; 1888,16; 12; 72,39
46008;Albalat de la Ribera; 695; 20895,97; 78; 2345,16; 3; 90,2
46009;Albalat dels Sorells; 850; 21060,46; 79; 1957,38; 2; 49,55
46010;Albalat dels Tarongers; 186; 15397,35; 21; 1738,41; 2; 165,56
3005;Albatera; 3010; 24130,19; 180; 1443,0; 14; 112,23
46011;Alberic; 3345; 31799,6; 330; 3137,18; 12; 114,08
12003;Albocasser; 555; 45232,27; 46; 3748,98; 3; 244,5
46012;Alborache; 208; 16924,33; 34; 2766,48; 10; 813,67
46013;Alboraya; 6321; 25548,68; 534; 2158,36; 46; 185,93
46014;Albuixech; 884; 21296,07; 88; 2119,97; 10; 240,91
3006;Alcalali; 67; 5145,93; 1; 76,8; 0; 0,0
12004;Alcala de Xivert; 1757; 26468,82; 104; 1566,74; 2; 30,13
3007;Alcocer de Planes; 21; 9292,04; 0; 0,0; 1; 442,48
3008;Alcoleja; 40; 22598,87; 0; 0,0; 0; 0,0
12005;Alcora (l'); 3057; 29346,26; 251; 2409,52; 16; 153,6
3009;Alcoy/Alcoi; 17475; 29441,99; 1301; 2191,93; 242; 407,72
46018;Alcublas; 80; 13093,29; 9; 1473,0; 0; 0,0
12006;Alcudia de Veo; 25; 13297,87; 6; 3191,49; 1; 531,91
46016;Alcantera de Xuquer; 179; 13348,25; 2; 149,14; 3; 223,71
46015;Alcasser; 2657; 26059,24; 269; 2638,29; 20; 196,16
46019;Alcudia (l'); 3349; 27661,68; 293; 2420,09; 18; 148,67
46020;Alcudia de Crespins (l'); 1408; 27537,65; 85; 1662,43; 4; 78,23
46021;Aldaia; 8217; 25515,46; 609; 1891,07; 46; 142,84
46022;Alfafar; 5243; 24505,73; 392; 1832,2; 39; 182,29
3010;Alfafara; 71; 17487,68; 2; 492,61; 0; 0,0
46024;Alfara de la Baronia; 97; 17047,45; 3; 527,24; 3; 527,24
46025;Alfara del Patriarca; 415; 12644,73; 32; 975,02; 2; 60,94
46026;Alfarp; 252; 16040,74; 39; 2482,5; 3; 190,96
46027;Alfarrasi; 274; 22477,44; 18; 1476,62; 1; 82,03
46023;Alfauir; 55; 12249,44; 3; 668,15; 0; 0,0
12007;Alfondeguilla; 116; 13457,08; 10; 1160,09; 0; 0,0
3011;Alfas del Pi (l'); 3906; 19489,07; 188; 938,03; 29; 144,7
46028;Algar de Palancia; 59; 12016,29; 5; 1018,33; 0; 0,0
46029;Algemesi; 6840; 24936,2; 485; 1768,14; 56; 204,16
46030;Algimia de Alfara; 161; 15289,65; 16; 1519,47; 8; 759,73
12008;Algimia de Almonacid; 30; 11450,38; 1; 381,68; 0; 0,0
46031;Alginet; 3514; 25414,04; 339; 2451,72; 11; 79,55
3012;Algorfa; 422; 13504,0; 31; 992,0; 2; 64,0
3013;Alguenya; 215; 16214,18; 23; 1734,54; 0; 0,0
3014;Alicante/Alacant; 76772; 22748,47; 5136; 1521,86; 567; 168,01
12009;Almazora/Almassora; 6735; 25185,1; 425; 1589,26; 26; 97,23
12010;Almedijar; 15; 6147,54; 1; 409,84; 0; 0,0
12011;Almenara; 1433; 23530,38; 110; 1806,24; 15; 246,31
46033;Almisera; 11; 4150,94; 1; 377,36; 0; 0,0
46034;Almoines; 521; 21033,51; 64; 2583,77; 1; 40,37
3015;Almoradi; 5365; 25297,06; 304; 1433,42; 32; 150,89
3016;Almudaina; 3; 2752,29; 1; 917,43; 0; 0,0
46035;Almussafes; 1945; 21661,65; 221; 2461,3; 6; 66,82
46032;Almassera; 2127; 28596,4; 126; 1694,0; 9; 121,0
46036;Alpuente; 51; 8031,5; 4; 629,92; 0; 0,0
3017;Alqueria d'Asnar (l'); 91; 18458,42; 7; 1419,88; 1; 202,84
46037;Alqueria de la Comtessa (l'); 352; 23529,41; 45; 3008,02; 2; 133,69
12901;Alquerias del Ninyo Perdido; 1096; 24551,97; 79; 1769,71; 10; 224,01
3018;Altea; 4912; 21774,98; 281; 1245,68; 39; 172,89
12012;Altura; 702; 19494,58; 70; 1943,9; 2; 55,54
46017;Alzira; 10147; 22580,0; 1048; 2332,1; 67; 149,09
46038;Andilla; 6; 1948,05; 0; 0,0; 0; 0,0
46039;Anna; 720; 27533,46; 33; 1261,95; 22; 841,3
46040;Antella; 153; 13223,85; 21; 1815,04; 5; 432,15
46041;Aras de los Olmos; 41; 11420,61; 10; 2785,52; 0; 0,0
12013;Aranyuel; 1; 662,25; 0; 0,0; 0; 0,0
12014;Ares del Maestrat; 5; 2717,39; 0; 0,0; 0; 0,0
12015;Argelita; 3; 2380,95; 0; 0,0; 0; 0,0
12016;Artana; 771; 39437,34; 28; 1432,23; 1; 51,15
3019;Aspe; 4977; 23923,28; 420; 2018,84; 21; 100,94
46003;Atzeneta d'Albaida; 237; 20395,87; 16; 1376,94; 1; 86,06
12001;Atzeneta del Maestrat; 366; 28067,48; 21; 1610,43; 3; 230,06
46044;Ayora; 1756; 33238,69; 95; 1798,22; 12; 227,14
12017;Ayodar; 35; 22875,82; 3; 1960,78; 0; 0,0
12018;Azuebar; 52; 16774,19; 6; 1935,48; 1; 322,58
12002;Ain; 6; 4878,05; 1; 813,01; 0; 0,0
3020;Balones; 23; 17968,75; 3; 2343,75; 0; 0,0
3021;Banyeres de Mariola; 2445; 34485,19; 108; 1523,27; 21; 296,19
12020;Barracas; 36; 21428,57; 1; 595,24; 1; 595,24
46046;Barx; 269; 20644,67; 10; 767,46; 14; 1074,44
46045;Barxeta; 394; 24842,37; 27; 1702,4; 3; 189,16
12022;Bejis; 35; 9433,96; 7; 1886,79; 0; 0,0
46048;Bellreguard; 2122; 45950,63; 130; 2815,07; 17; 368,12
46049;Bellus; 23; 7692,31; 1; 334,45; 0; 0,0
12024;Benafer; 5; 3048,78; 0; 0,0; 0; 0,0
12025;Benafigos; 2; 1449,28; 0; 0,0; 0; 0,0
46051;Benaguasil; 2903; 25790,69; 252; 2238,81; 13; 115,49
46050;Benageber; 29; 16111,11; 1; 555,56; 0; 0,0
12026;Benasal; 157; 14769,52; 6; 564,44; 3; 282,22
3022;Benasau; 12; 7692,31; 0; 0,0; 0; 0,0
46052;Benavites; 114; 17868,34; 9; 1410,66; 2; 313,48
3023;Beneixama; 382; 22603,55; 28; 1656,8; 2; 118,34
46053;Beneixida; 60; 9569,38; 4; 637,96; 0; 0,0
3024;Benejuzar; 1243; 22870,29; 61; 1122,36; 12; 220,79
46054;Benetusser; 4190; 27933,33; 305; 2033,33; 30; 200,0
3025;Benferri; 294; 14961,83; 12; 610,69; 3; 152,67
3026;Beniarbeig; 181; 8383,51; 6; 277,91; 0; 0,0
3027;Beniarda; 4; 2000,0; 0; 0,0; 0; 0,0
46055;Beniarjo; 494; 27956,99; 33; 1867,57; 2; 113,19
3028;Beniarres; 251; 22838,94; 16; 1455,87; 2; 181,98
46056;Beniatjar; 45; 20547,95; 3; 1369,86; 1; 456,62
12027;Benicarlo; 7157; 26155,76; 446; 1629,94; 46; 168,11
12028;Benicasim/Benicassim; 5195; 28289,04; 293; 1595,51; 21; 114,35
46057;Benicolet; 125; 21777,0; 8; 1393,73; 2; 348,43
46904;Benicull de Xuquer; 133; 12690,84; 17; 1622,14; 0; 0,0
3030;Benidoleig; 70; 6493,51; 1; 92,76; 0; 0,0
3031;Benidorm; 16612; 23579,84; 719; 1020,58; 199; 282,47
46059;Benifairo de la Valldigna; 283; 18164,31; 28; 1797,18; 0; 0,0
46058;Benifairo de les Valls; 410; 18526,89; 51; 2304,56; 2; 90,38
46060;Benifaio; 3384; 28225,87; 320; 2669,11; 26; 216,87
3032;Benifallim; 10; 9615,38; 0; 0,0; 0; 0,0
3033;Benifato; 9; 6617,65; 0; 0,0; 0; 0,0
46061;Benifla; 6; 1304,35; 1; 217,39; 0; 0,0
3029;Benigembla; 43; 9706,55; 2; 451,47; 0; 0,0
46062;Beniganim; 2212; 38276,52; 59; 1020,94; 15; 259,56
3034;Benijofar; 524; 15912,54; 17; 516,25; 4; 121,47
3035;Benilloba; 224; 30853,99; 7; 964,19; 1; 137,74
3036;Benillup; 10; 10000,0; 2; 2000,0; 0; 0,0
3037;Benimantell; 148; 29778,67; 9; 1810,87; 3; 603,62
3038;Benimarfull; 35; 8838,38; 3; 757,58; 0; 0,0
3039;Benimassot; 7; 6796,12; 0; 0,0; 0; 0,0
3040;Benimeli; 46; 10722,61; 12; 2797,2; 0; 0,0
46063;Benimodo; 251; 11047,54; 34; 1496,48; 2; 88,03
46064;Benimuslem; 67; 10044,98; 10; 1499,25; 0; 0,0
46065;Beniparrell; 443; 21985,11; 45; 2233,25; 2; 99,26
46066;Benirredra; 611; 39292,6; 40; 2572,35; 18; 1157,56
46067;Benisano; 464; 20253,16; 49; 2138,8; 1; 43,65
3041;Benissa; 3080; 27285,61; 224; 1984,41; 30; 265,77
46068;Benissoda; 56; 12962,96; 1; 231,48; 0; 0,0
46069;Benisuera; 23; 12432,43; 0; 0,0; 0; 0,0
3042;Benitachell/Poble Nou de Benitatxell (el); 310; 6963,16; 7; 157,23; 4; 89,85
12029;Benlloch; 217; 20706,11; 25; 2385,5; 2; 190,84
12021;Betxi; 1591; 28319,69; 120; 2135,99; 2; 35,6
3043;Biar; 1191; 32585,5; 55; 1504,79; 7; 191,52
46071;Bicorp; 104; 19659,74; 13; 2457,47; 0; 0,0
3044;Bigastro; 1692; 24489,8; 146; 2113,19; 12; 173,69
46072;Bocairent; 926; 22356,35; 96; 2317,72; 7; 169,0
46073;Bolbaite; 317; 23942,6; 9; 679,76; 5; 377,64
3045;Bolulla; 21; 5035,97; 0; 0,0; 0; 0,0
46074;Bonrepos i Mirambell; 922; 24665,6; 73; 1952,92; 4; 107,01
12032;Borriana/Burriana; 9174; 26172,54; 674; 1922,86; 65; 185,44
12031;Borriol; 1464; 27126,18; 107; 1982,58; 7; 129,7
46075;Bufali; 9; 5769,23; 2; 1282,05; 0; 0,0
46076;Bugarra; 122; 16508,8; 9; 1217,86; 0; 0,0
46078;Burjassot; 10067; 26058,71; 766; 1982,81; 52; 134,6
3046;Busot; 306; 9951,22; 19; 617,89; 1; 32,52
46077;Bunyol; 2907; 30606,44; 187; 1968,84; 18; 189,51
46047;Belgida; 92; 13549,34; 10; 1472,75; 3; 441,83
46070;Betera; 7110; 28897,74; 561; 2280,12; 46; 186,96
12033;Cabanes; 458; 15379,45; 32; 1074,55; 22; 738,75
46079;Calles; 43; 12112,68; 7; 1971,83; 1; 281,69
3048;Callosa d'En Sarria; 1953; 25963,84; 92; 1223,08; 19; 252,59
3049;Callosa de Segura; 5081; 26564,54; 444; 2321,33; 26; 135,93
3047;Calp; 4794; 20552,17; 271; 1161,79; 45; 192,92
3050;Campello (el); 6473; 22374,7; 478; 1652,26; 89; 307,64
3051;Campo de Mirra/Camp de Mirra (el); 2; 479,62; 0; 0,0; 0; 0,0
46080;Camporrobles; 244; 20367,28; 10; 834,72; 0; 0,0
46081;Canals; 3719; 27515,54; 219; 1620,3; 17; 125,78
46082;Canet d'En Berenguer; 1095; 16186,25; 120; 1773,84; 24; 354,77
12036;Canet lo Roig; 99; 14644,97; 6; 887,57; 0; 0,0
46083;Carcaixent; 5075; 24833,63; 440; 2153,06; 39; 190,84
46085;Carlet; 4303; 27337,99; 371; 2357,05; 26; 165,18
46086;Carricola; 11; 11111,11; 0; 0,0; 0; 0,0
46087;Casas Altas; 11; 8396,95; 0; 0,0; 1; 763,36
46088;Casas Bajas; 20; 12269,94; 1; 613,5; 0; 0,0
46089;Casinos; 366; 13165,47; 47; 1690,65; 3; 107,91
3053;Castalla; 2661; 25437,34; 170; 1625,08; 26; 248,54
12037;Castell de Cabres; 0; 0,0; 0; 0,0; 0; 0,0
3054;Castell de Castells; 43; 9839,82; 3; 686,5; 1; 228,83
3075;Castell de Guadalest (el); 0; 0,0; 0; 0,0; 0; 0,0
12038;Castellfort; 5; 2793,3; 0; 0,0; 1; 558,66
12039;Castellnovo; 109; 11873,64; 10; 1089,32; 1; 108,93
46091;Castellonet de la Conquesta; 9; 6382,98; 0; 0,0; 1; 709,22
46257;Castello; 2160; 30620,92; 145; 2055,57; 8; 113,41
46090;Castello de Rugat; 821; 35726,72; 46; 2001,74; 0; 0,0
12040;Castellon de la Plana/Castello de la Plana; 44472; 25519,9; 3924; 2251,76; 289; 165,84
46092;Castielfabib; 18; 5844,16; 1; 324,68; 0; 0,0
12041;Castillo de Villamalefa; 23; 22772,28; 4; 3960,4; 0; 0,0
46093;Catadau; 616; 21968,62; 49; 1747,5; 5; 178,32
46094;Catarroja; 7199; 25164,29; 682; 2383,95; 40; 139,82
3055;Catral; 1263; 14194,2; 57; 640,59; 9; 101,15
12042;Cati; 96; 13445,38; 12; 1680,67; 2; 280,11
46095;Caudete de las Fuentes; 195; 27426,16; 12; 1687,76; 3; 421,94
12043;Caudiel; 61; 9256,45; 3; 455,24; 4; 606,98
3052;Canyada; 293; 24254,97; 24; 1986,75; 2; 165,56
46096;Cerda; 13; 3927,49; 0; 0,0; 0; 0,0
12044;Cervera del Maestre; 66; 11849,19; 7; 1256,73; 0; 0,0
46107;Chella; 773; 31270,23; 22; 889,97; 6; 242,72
46106;Chelva; 581; 37949,05; 74; 4833,44; 2; 130,63
46108;Chera; 100; 21321,96; 2; 426,44; 0; 0,0
12052;Chert/Xert; 92; 13372,09; 5; 726,74; 2; 290,7
46109;Cheste; 2491; 28517,46; 157; 1797,37; 21; 240,41
12053;Chilches/Xilxes; 451; 16617,54; 53; 1952,84; 2; 73,69
46111;Chiva; 3348; 21720,51; 199; 1291,03; 28; 181,65
12055;Chodos/Xodos; 1; 943,4; 0; 0,0; 0; 0,0
46112;Chulilla; 99; 14954,68; 14; 2114,8; 1; 151,06
12056;Chovar; 37; 12847,22; 4; 1388,89; 0; 0,0
12045;Cinctorres; 119; 29750,0; 6; 1500,0; 2; 500,0
12046;Cirat; 18; 8737,86; 0; 0,0; 0; 0,0
3056;Cocentaina; 2723; 23637,15; 246; 2135,42; 36; 312,5
46097;Cofrentes; 260; 23152,27; 11; 979,52; 3; 267,14
3057;Confrides; 0; 0,0; 0; 0,0; 0; 0,0
46098;Corbera; 495; 16029,79; 44; 1424,87; 5; 161,92
12048;Cortes de Arenoso; 22; 7333,33; 4; 1333,33; 0; 0,0
46099;Cortes de Pallas; 113; 14656,29; 3; 389,11; 1; 129,7
12049;Costur; 38; 7335,91; 5; 965,25; 1; 193,05
46100;Cotes; 52; 15615,62; 2; 600,6; 0; 0,0
12050;Coves de Vinroma (les); 368; 20376,52; 31; 1716,5; 1; 55,37
3058;Cox; 1238; 16761,44; 61; 825,89; 14; 189,55
3059;Crevillent; 5822; 19711,54; 435; 1472,78; 41; 138,81
12051;Culla; 37; 7692,31; 1; 207,9; 0; 0,0
46105;Cullera; 4833; 21459,97; 396; 1758,36; 39; 173,17
12034;Calig; 291; 14839,37; 37; 1886,79; 1; 50,99
46084;Carcer; 859; 47016,97; 32; 1751,51; 7; 383,14
46113;Daimus; 892; 27909,89; 52; 1627,03; 31; 969,96
3061;Daya Nueva; 360; 20773,23; 6; 346,22; 5; 288,52
3062;Daya Vieja; 51; 6976,74; 2; 273,6; 1; 136,8
3064;Dolores; 2624; 34842,65; 167; 2217,5; 15; 199,18
46114;Domenyo; 84; 12481,43; 14; 2080,24; 1; 148,59
46115;Dos Aguas; 62; 18960,24; 2; 611,62; 1; 305,81
3063;Denia; 9925; 23174,63; 548; 1279,57; 46; 107,41
3065;Elche/Elx; 62967; 26821,29; 4232; 1802,65; 324; 138,01
3066;Elda; 14902; 28216,54; 806; 1526,14; 129; 244,26
46116;Eliana (l'); 6028; 32828,67; 447; 2434,38; 40; 217,84
46117;Emperador; 78; 11337,21; 7; 1017,44; 0; 0,0
46118;Enguera; 1167; 24429,56; 44; 921,08; 5; 104,67
12057;Eslida; 91; 12551,72; 11; 1517,24; 0; 0,0
12058;Espadilla; 8; 11594,2; 0; 0,0; 0; 0,0
46120;Estivella; 703; 48785,57; 73; 5065,93; 6; 416,38
46121;Estubeny; 8; 6400,0; 0; 0,0; 0; 0,0
3067;Facheca; 8; 7476,64; 1; 934,58; 0; 0,0
3068;Famorca; 2; 4444,44; 0; 0,0; 0; 0,0
12059;Fanzara; 35; 12820,51; 4; 1465,2; 0; 0,0
46122;Faura; 1043; 29355,47; 80; 2251,62; 3; 84,44
46123;Favara; 478; 19089,46; 35; 1397,76; 6; 239,62
12060;Figueroles; 54; 10325,05; 14; 2676,86; 0; 0,0
3069;Finestrat; 1036; 14585,39; 82; 1154,44; 5; 70,39
46126;Foios; 2263; 30367,69; 170; 2281,27; 7; 93,93
3077;Fondo de les Neus (el)/Hondon de las Nieves; 266; 10207,21; 41; 1573,29; 1; 38,37
46127;Font d'En Carros (la); 813; 21519,32; 89; 2355,74; 4; 105,88
46128;Font de la Figuera (la); 579; 28564,38; 33; 1628,02; 1; 49,33
46124;Fontanars dels Alforins; 252; 26277,37; 17; 1772,68; 2; 208,55
12061;Forcall; 235; 51535,09; 10; 2192,98; 3; 657,89
3070;Formentera del Segura; 673; 15768,51; 25; 585,75; 10; 234,3
46125;Fortaleny; 157; 15392,16; 16; 1568,63; 3; 294,12
12063;Fuente la Reina; 3; 5882,35; 0; 0,0; 0; 0,0
46129;Fuenterrobles; 169; 24351,59; 5; 720,46; 1; 144,09
12064;Fuentes de Ayodar; 1; 1123,6; 0; 0,0; 0; 0,0
3072;Gaianes; 64; 13361,17; 7; 1461,38; 0; 0,0
12065;Gaibiel; 30; 16574,59; 2; 1104,97; 0; 0,0
46131;Gandia; 18537; 24455,79; 1034; 1364,15; 79; 104,22
3071;Gata de Gorgos; 1363; 21832,45; 104; 1665,87; 3; 48,05
46130;Gavarda; 141; 13531,67; 4; 383,88; 1; 95,97
12067;Geldo; 91; 14375,99; 11; 1737,76; 1; 157,98
46132;Genoves; 759; 27321,81; 50; 1799,86; 1; 36,0
46133;Gestalgar; 87; 15875,91; 5; 912,41; 0; 0,0
46134;Gilet; 439; 12896,59; 40; 1175,09; 2; 58,75
46135;Godella; 4418; 33645,57; 369; 2810,14; 17; 129,46
46136;Godelleta; 330; 9207,59; 21; 585,94; 2; 55,8
3073;Gorga; 40; 16597,51; 2; 829,88; 0; 0,0
46137;Granja de la Costera (la); 28; 9491,53; 0; 0,0; 0; 0,0
3074;Granja de Rocamora; 468; 18062,52; 18; 694,71; 3; 115,79
46138;Guadasequies; 67; 14692,98; 4; 877,19; 0; 0,0
46139;Guadassuar; 1458; 24703,49; 141; 2389,02; 15; 254,15
46140;Guardamar de la Safor; 21; 3954,8; 2; 376,65; 2; 376,65
