CodMunicipio;Municipi;Casos PCR+;Incidencia PCR+;PCR+ 14d;Incd PCR+14;Defuncions;Taxa defuncio
3076;Guardamar del Segura; 2827; 17837,09; 272; 1716,2; 35; 220,83
46902;Gatova; 53; 13086,42; 5; 1234,57; 1; 246,91
12068;Herbes; 1; 2272,73; 0; 0,0; 0; 0,0
12069;Higueras; 2; 4166,67; 0; 0,0; 0; 0,0
46141;Higueruelas; 64; 12774,45; 7; 1397,21; 0; 0,0
3078;Hondon de los Frailes; 182; 14653,78; 12; 966,18; 0; 0,0
3079;Ibi; 6653; 28233,75; 270; 1145,82; 62; 263,11
3080;Jacarilla; 377; 18868,87; 31; 1551,55; 1; 50,05
46142;Jalance; 171; 20503,6; 4; 479,62; 14; 1678,66
12070;Jana (la); 83; 12278,11; 6; 887,57; 0; 0,0
46144;Jarafuel; 130; 16905,07; 7; 910,27; 5; 650,2
3083;Jijona/Xixona; 1540; 22386,97; 73; 1061,2; 17; 247,13
3082;Javea/Xabia; 6410; 22879,78; 383; 1367,08; 18; 64,25
12071;Jerica; 261; 16741,5; 15; 962,16; 3; 192,43
46154;Llanera de Ranes; 280; 26743,08; 20; 1910,22; 1; 95,51
46155;Llauri; 169; 14955,75; 18; 1592,92; 0; 0,0
46151;Llocnou d'En Fenollet; 208; 22707,42; 12; 1310,04; 1; 109,17
46152;Llocnou de la Corona; 1; 806,45; 0; 0,0; 0; 0,0
46153;Llocnou de Sant Jeroni; 96; 17328,52; 4; 722,02; 0; 0,0
46156;Llombai; 274; 10327,93; 36; 1356,95; 2; 75,39
12074;Llosa (la); 177; 18024,44; 14; 1425,66; 6; 611,0
46157;Llosa de Ranes (la); 1010; 27732,02; 74; 2031,85; 3; 82,37
46150;Llutxent; 877; 37704,21; 55; 2364,57; 3; 128,98
3085;Lliber; 39; 4698,8; 2; 240,96; 0; 0,0
46147;Lliria; 5444; 23183,72; 377; 1605,49; 50; 212,93
3084;Lorcha/Orxa (l'); 70; 12027,49; 11; 1890,03; 1; 171,82
46148;Loriguilla; 320; 15724,82; 27; 1326,78; 4; 196,56
46149;Losa del Obispo; 69; 13663,37; 8; 1584,16; 0; 0,0
12072;Lucena del Cid; 309; 23498,1; 20; 1520,91; 1; 76,05
12073;Ludiente; 9; 6040,27; 1; 671,14; 0; 0,0
46158;Macastre; 109; 8384,62; 17; 1307,69; 1; 76,92
46159;Manises; 7912; 25326,5; 457; 1462,87; 62; 198,46
46160;Manuel; 486; 19950,74; 17; 697,87; 1; 41,05
46161;Marines; 248; 13419,91; 33; 1785,71; 0; 0,0
46162;Masalaves; 205; 12732,92; 24; 1490,68; 0; 0,0
46163;Massalfassar; 570; 22309,2; 66; 2583,17; 1; 39,14
46164;Massamagrell; 3977; 24605,58; 333; 2060,26; 33; 204,17
46165;Massanassa; 2563; 26201,19; 279; 2852,18; 36; 368,02
12075;Mata de Morella (la); 61; 38125,0; 1; 625,0; 0; 0,0
12076;Matet; 13; 15662,65; 0; 0,0; 0; 0,0
46166;Meliana; 2935; 26754,79; 295; 2689,15; 10; 91,16
46167;Millares; 25; 7552,87; 3; 906,34; 1; 302,11
3086;Millena; 14; 5833,33; 1; 416,67; 1; 416,67
46168;Miramar; 705; 26256,98; 89; 3314,71; 3; 111,73
46169;Mislata; 10222; 23064,08; 517; 1166,52; 66; 148,92
46170;Mogente/Moixent; 1396; 32412,35; 51; 1184,12; 3; 69,65
46171;Moncada; 5587; 25371,24; 449; 2038,96; 26; 118,07
12077;Moncofa; 1232; 18368,87; 80; 1192,78; 9; 134,19
3088;Monforte del Cid; 2063; 24718,43; 121; 1449,8; 10; 119,82
12079;Montanejos; 190; 33687,94; 20; 3546,1; 0; 0,0
46173;Montaverner; 390; 23853,21; 54; 3302,75; 0; 0,0
46174;Montesa; 344; 29783,55; 24; 2077,92; 2; 173,16
3903;Montesinos (Los); 372; 7350,33; 23; 454,46; 3; 59,28
46175;Montitxelvo/Montichelvo; 56; 9572,65; 1; 170,94; 0; 0,0
46176;Montroy; 556; 18809,2; 38; 1285,52; 3; 101,49
46172;Montserrat; 2291; 27979,97; 153; 1868,59; 5; 61,06
12078;Montan; 102; 27717,39; 3; 815,22; 5; 1358,7
3089;Monovar/Monover; 3352; 27448,41; 201; 1645,92; 30; 245,66
12080;Morella; 773; 31995,03; 53; 2193,71; 23; 951,99
3091;Murla; 37; 7297,83; 5; 986,19; 1; 197,24
3092;Muro de Alcoy; 2577; 27665,06; 257; 2758,99; 16; 171,77
46177;Museros; 1787; 27092,18; 142; 2152,82; 7; 106,12
3090;Mutxamel; 5682; 22156,37; 358; 1395,98; 53; 206,67
12081;Navajas; 78; 10833,33; 6; 833,33; 0; 0,0
46179;Navarres; 927; 30858,85; 32; 1065,25; 10; 332,89
3093;Novelda; 6966; 27061,89; 406; 1577,25; 54; 209,78
46180;Novele/Novetle; 160; 18669,78; 11; 1283,55; 2; 233,37
3094;Nucia (la); 4064; 22375,16; 261; 1436,99; 21; 115,62
12082;Nules; 4251; 32116,95; 225; 1699,91; 21; 158,66
46178;Naquera; 1008; 14615,05; 130; 1884,88; 1; 14,5
46181;Oliva; 6656; 26387,57; 433; 1716,62; 59; 233,9
46183;Olleria (l'); 2527; 30372,6; 130; 1562,5; 12; 144,23
46182;Olocau; 170; 9299,78; 12; 656,46; 1; 54,7
12083;Olocau del Rey; 37; 30833,33; 0; 0,0; 0; 0,0
12084;Onda; 7928; 31737,39; 461; 1845,48; 54; 216,17
3095;Ondara; 2020; 28547,2; 162; 2289,43; 8; 113,06
3096;Onil; 2081; 27381,58; 87; 1144,74; 35; 460,53
46184;Ontinyent; 9596; 26833,7; 745; 2083,28; 50; 139,82
3097;Orba; 956; 42831,54; 65; 2912,19; 7; 313,62
3099;Orihuela; 16311; 20777,02; 1189; 1514,55; 113; 143,94
12085;Oropesa del Mar/Orpesa; 2430; 26019,92; 106; 1135,03; 10; 107,08
3098;Orxeta; 112; 14285,71; 18; 2295,92; 0; 0,0
46185;Otos; 57; 13507,11; 4; 947,87; 1; 236,97
46186;Paiporta; 7246; 27328,96; 606; 2285,58; 30; 113,15
12087;Palanques; 1; 2941,18; 0; 0,0; 0; 0,0
46187;Palma de Gandia; 260; 15213,58; 32; 1872,44; 4; 234,06
46188;Palmera; 220; 21611,0; 18; 1768,17; 0; 0,0
46189;Palomar (el); 75; 13227,51; 8; 1410,93; 0; 0,0
3100;Parcent; 63; 6514,99; 3; 310,24; 0; 0,0
46190;Paterna; 16614; 23388,47; 1513; 2129,94; 75; 105,58
12088;Pavias; 4; 5882,35; 0; 0,0; 0; 0,0
46191;Pedralba; 549; 19509,59; 43; 1528,07; 4; 142,15
3101;Pedreguer; 1740; 22078,42; 123; 1560,72; 13; 164,95
3102;Pego; 2249; 22194,81; 162; 1598,74; 11; 108,56
3103;Penaguila; 74; 27509,29; 1; 371,75; 1; 371,75
12089;Peniscola/Penyiscola; 1899; 24716,91; 78; 1015,23; 9; 117,14
3104;Petrer; 10778; 31476,88; 624; 1822,38; 68; 198,59
46192;Petres; 156; 15615,62; 8; 800,8; 1; 100,1
46193;Picanya; 3070; 26451,84; 257; 2214,37; 27; 232,64
46194;Picassent; 6325; 29746,51; 464; 2182,19; 62; 291,59
3902;Pilar de la Horadada; 3870; 17317,76; 257; 1150,04; 44; 196,89
46195;Piles; 654; 23868,61; 40; 1459,85; 2; 72,99
12090;Pina de Montalgrao; 22; 20000,0; 2; 1818,18; 0; 0,0
46196;Pinet; 10; 6369,43; 0; 0,0; 0; 0,0
3105;Pinos (el)/Pinoso; 2103; 26205,61; 108; 1345,79; 13; 161,99
3106;Planes; 112; 16422,29; 5; 733,14; 1; 146,63
12093;Pobla de Benifassa (la); 30; 15075,38; 5; 2512,56; 0; 0,0
46199;Pobla de Farnals (la); 1646; 20250,98; 162; 1993,11; 9; 110,73
46202;Pobla de Vallbona (la); 6288; 25295,68; 571; 2297,05; 27; 108,62
46200;Pobla del Duc (la); 369; 14671,97; 13; 516,9; 3; 119,28
46203;Pobla Llarga (la); 1337; 30031,45; 83; 1864,33; 9; 202,16
12094;Pobla Tornesa (la); 151; 12458,75; 17; 1402,64; 2; 165,02
3901;Poblets (els); 128; 4716,29; 5; 184,23; 2; 73,69
46197;Polinya de Xuquer; 348; 13903,32; 38; 1518,18; 6; 239,71
3107;Polop; 711; 14040,28; 40; 789,89; 22; 434,44
12091;Portell de Morella; 12; 6382,98; 0; 0,0; 0; 0,0
46198;Potries; 253; 23867,92; 10; 943,4; 0; 0,0
12092;Puebla de Arenoso; 32; 21052,63; 13; 8552,63; 1; 657,89
46201;Puebla de San Miguel; 0; 0,0; 0; 0,0; 0; 0,0
46204;Puig; 2292; 26290,43; 287; 3292,04; 52; 596,47
46205;Puçol; 5096; 25819,53; 339; 1717,59; 34; 172,27
46101;Quart de les Valls; 219; 21386,72; 9; 878,91; 2; 195,31
46102;Quart de Poblet; 5276; 21051,79; 343; 1368,61; 38; 151,62
46103;Quartell; 524; 31661,63; 44; 2658,61; 36; 2175,23
46104;Quatretonda; 480; 21798,37; 27; 1226,16; 4; 181,65
3060;Quatretondeta; 11; 9322,03; 2; 1694,92; 0; 0,0
46206;Quesa; 147; 22171,95; 3; 452,49; 4; 603,32
3109;Rafal; 894; 19635,41; 30; 658,91; 7; 153,74
46207;Rafelbunyol/Rafelbunyol; 2187; 23904,25; 185; 2022,08; 11; 120,23
46208;Rafelcofer; 334; 24649,45; 12; 885,61; 2; 147,6
46209;Rafelguaraf; 627; 26624,2; 29; 1231,42; 4; 169,85
46212;Real; 372; 16855,46; 30; 1359,31; 4; 181,24
46211;Real de Gandia; 504; 19913,08; 32; 1264,32; 6; 237,06
3111;Redovan; 1440; 18168,05; 61; 769,62; 13; 164,02
3112;Relleu; 109; 9494,77; 12; 1045,3; 2; 174,22
46213;Requena; 5742; 28140,16; 310; 1519,24; 71; 347,95
46214;Riba-roja de Turia; 5550; 24383,81; 460; 2021,0; 36; 158,17
12095;Ribesalbes; 197; 16938,95; 14; 1203,78; 1; 85,98
46215;Riola; 230; 12849,16; 16; 893,85; 2; 111,73
46216;Rocafort; 1464; 20016,41; 176; 2406,34; 3; 41,02
3113;Rojales; 2569; 15409,99; 167; 1001,74; 24; 143,96
3114;Romana (la); 364; 14606,74; 21; 842,7; 5; 200,64
12096;Rossell; 127; 13925,44; 11; 1206,14; 2; 219,3
46217;Rotgla i Corbera; 243; 21754,7; 13; 1163,83; 0; 0,0
46219;Rugat; 21; 12068,97; 4; 2298,85; 1; 574,71
3110;Rafol d'Almunia (El); 45; 6944,44; 3; 462,96; 2; 308,64
46210;Rafol de Salem; 54; 12217,19; 8; 1809,95; 0; 0,0
46218;Rotova; 314; 24284,61; 29; 2242,85; 0; 0,0
12097;Sacanyet; 0; 0,0; 0; 0,0; 0; 0,0
3115;Sagra; 32; 7511,74; 1; 234,74; 0; 0,0
46220;Sagunto/Sagunt; 15395; 22918,43; 1264; 1881,71; 140; 208,42
46221;Salem; 72; 17224,88; 12; 2870,81; 1; 239,23
3116;Salinas; 295; 18209,88; 5; 308,64; 5; 308,64
12098;Salzadella (la); 107; 15285,71; 14; 2000,0; 2; 285,71
46903;San Antonio de Benageber; 1419; 15281,07; 146; 1572,26; 23; 247,68
3118;San Fulgencio; 776; 9614,67; 55; 681,45; 13; 161,07
3904;San Isidro; 225; 10699,0; 30; 1426,53; 1; 47,55
3120;San Miguel de Salinas; 1668; 26421,67; 131; 2075,08; 9; 142,56
12101;San Rafael del Rio; 125; 26824,03; 6; 1287,55; 0; 0,0
3122;San Vicente del Raspeig/Sant Vicent del Raspeig; 14650; 24839,77; 1084; 1837,97; 68; 115,3
3117;Sanet y Negrals; 43; 6231,88; 1; 144,93; 0; 0,0
3119;Sant Joan d'Alacant; 5587; 22928,55; 397; 1629,25; 39; 160,05
46222;Sant Joan de l'enova; 50; 9861,93; 6; 1183,43; 0; 0,0
12902;Sant Joan de Moro; 442; 13675,74; 37; 1144,8; 3; 92,82
12099;Sant Jordi/San Jorge; 142; 14343,43; 11; 1111,11; 0; 0,0
12100;Sant Mateu; 583; 29866,8; 46; 2356,56; 3; 153,69
12102;Santa Magdalena de Pulpis; 125; 16578,25; 12; 1591,51; 0; 0,0
3121;Santa Pola; 7931; 23814,67; 557; 1672,52; 42; 126,11
12103;Sarratella; 1; 1052,63; 0; 0,0; 0; 0,0
3123;Sax; 2785; 28248,3; 108; 1095,45; 21; 213,0
46223;Sedavi; 3002; 28890,39; 221; 2126,84; 31; 298,34
46224;Segart; 1; 609,76; 0; 0,0; 0; 0,0
12104;Segorbe; 2483; 27294,71; 203; 2231,5; 34; 373,75
3124;Sella; 79; 13691,51; 4; 693,24; 3; 519,93
46225;Sellent; 42; 10937,5; 0; 0,0; 1; 260,42
46226;Sempere; 0; 0,0; 0; 0,0; 0; 0,0
3125;Senija; 18; 3087,48; 0; 0,0; 0; 0,0
46227;Senyera; 206; 18165,78; 17; 1499,12; 0; 0,0
46228;Serra; 370; 11609,66; 46; 1443,36; 1; 31,38
12105;Sierra Engarceran; 97; 9817,81; 19; 1923,08; 2; 202,43
46229;Siete Aguas; 158; 13632,44; 14; 1207,94; 0; 0,0
46230;Silla; 4305; 22565,26; 392; 2054,72; 26; 136,28
46231;Simat de la Valldigna; 491; 14892,33; 60; 1819,84; 3; 90,99
46232;Sinarcas; 172; 15565,61; 5; 452,49; 1; 90,5
46233;Sollana; 950; 19463,22; 122; 2499,49; 6; 122,93
12106;Soneja; 372; 25549,45; 48; 3296,7; 2; 137,36
46234;Sot de Chera; 70; 19337,02; 13; 3591,16; 0; 0,0
12107;Sot de Ferrer; 64; 15647,92; 5; 1222,49; 2; 489,0
46235;Sueca; 6129; 22233,91; 637; 2310,82; 45; 163,24
12108;Sueras/Suera; 120; 22900,76; 10; 1908,4; 2; 381,68
46236;Sumacarcer; 120; 10938,92; 7; 638,1; 0; 0,0
12109;Tales; 142; 17727,84; 11; 1373,28; 0; 0,0
46237;Tavernes Blanques; 2400; 26019,08; 164; 1777,97; 15; 162,62
46238;Tavernes de la Valldigna; 4975; 28833,89; 375; 2173,41; 53; 307,18
12110;Teresa; 26; 10526,32; 1; 404,86; 1; 404,86
46239;Teresa de Cofrentes; 82; 13247,17; 11; 1777,06; 4; 646,2
46240;Terrateig; 10; 3906,25; 1; 390,62; 0; 0,0
3128;Teulada; 2979; 26414,26; 157; 1392,09; 23; 203,94
3129;Tibi; 211; 12695,55; 15; 902,53; 2; 120,34
46241;Titaguas; 219; 48237,89; 15; 3303,96; 0; 0,0
12112;Todolella; 22; 15602,84; 4; 2836,88; 0; 0,0
12113;Toga; 15; 15625,0; 1; 1041,67; 0; 0,0
3130;Tollos; 2; 5714,29; 0; 0,0; 0; 0,0
3131;Tormos; 17; 5345,91; 2; 628,93; 0; 0,0
12115;Toro (El); 22; 9128,63; 1; 414,94; 0; 0,0
12116;Torralba del Pinar; 0; 0,0; 0; 0,0; 0; 0,0
12119;Torre d'En Besora (la); 19; 11377,25; 0; 0,0; 1; 598,8
12120;Torre d'en Domenec (la); 3; 1851,85; 0; 0,0; 0; 0,0
46242;Torrebaja; 73; 18159,2; 2; 497,51; 0; 0,0
12117;Torreblanca; 1208; 21672,05; 75; 1345,53; 7; 125,58
12118;Torrechiva; 7; 7865,17; 0; 0,0; 0; 0,0
46243;Torrella; 3; 2068,97; 0; 0,0; 0; 0,0
3132;Torremanzanas/Torre de les Maçanes (la); 41; 6446,54; 0; 0,0; 0; 0,0
46244;Torrent; 20775; 24743,34; 1670; 1989,0; 177; 210,81
46245;Torres Torres; 93; 13901,35; 5; 747,38; 1; 149,48
3133;Torrevieja; 13998; 16533,01; 859; 1014,56; 149; 175,98
12114;Toras; 16; 6896,55; 3; 1293,1; 0; 0,0
46246;Tous; 253; 19658,12; 21; 1631,7; 1; 77,7
12121;Traiguera; 593; 43379,66; 33; 2414,05; 10; 731,53
46248;Turis; 2141; 31850,64; 159; 2365,37; 5; 74,38
46247;Tuejar; 175; 15391,38; 4; 351,8; 2; 175,9
3127;Tarbena; 64; 10272,87; 7; 1123,6; 3; 481,54
12111;Tirig; 58; 13809,52; 9; 2142,86; 0; 0,0
12122;Useras/Useres (les); 58; 6047,97; 7; 729,93; 1; 104,28
46249;Utiel; 3634; 31715,83; 169; 1474,95; 49; 427,65
46250;Valencia; 212240; 26522,87; 16236; 2028,95; 1335; 166,83
12124;Vall d'Alba; 1602; 56092,44; 198; 6932,77; 7; 245,1
3134;Vall d'Alcala (la); 10; 6250,0; 0; 0,0; 0; 0,0
3135;Vall d'Ebo (la); 10; 4587,16; 0; 0,0; 1; 458,72
12126;Vall d'Uixo (la); 8926; 28174,62; 489; 1543,51; 45; 142,04
12125;Vall de Almonacid; 32; 12167,3; 3; 1140,68; 0; 0,0
3136;Vall de Gallinera; 27; 5123,34; 1; 189,75; 0; 0,0
3137;Vall de Laguar (la); 146; 17654,17; 8; 967,35; 1; 120,92
46251;Vallada; 882; 28488,37; 93; 3003,88; 10; 323,0
46252;Vallanca; 24; 18045,11; 0; 0,0; 1; 751,88
12123;Vallat; 1; 1960,78; 0; 0,0; 0; 0,0
12127;Vallibona; 4; 6060,61; 0; 0,0; 0; 0,0
46253;Valles; 3; 1948,05; 0; 0,0; 0; 0,0
46254;Venta del Moro; 238; 19866,44; 23; 1919,87; 1; 83,47
3138;Verger (el); 1757; 37311,53; 97; 2059,89; 25; 530,9
12135;Vila-real; 15237; 29705,81; 1074; 2093,85; 103; 200,81
12128;Vilafames; 215; 11755,06; 50; 2733,73; 0; 0,0
46256;Vilamarxant; 2125; 21484,18; 164; 1658,07; 7; 70,77
12132;Vilanova d'Alcolea; 65; 11423,55; 8; 1405,98; 1; 175,75
12134;Vilar de Canes; 12; 7100,59; 2; 1183,43; 0; 0,0
12136;Vilavella (la); 660; 21120,0; 44; 1408,0; 6; 192,0
12129;Villafranca del Cid/Vilafranca; 524; 23850,71; 34; 1547,56; 1; 45,52
12130;Villahermosa del Rio; 143; 29545,45; 43; 8884,3; 15; 3099,17
3139;Villajoyosa/Vila Joiosa (la); 8505; 24162,62; 469; 1332,42; 81; 230,12
46255;Villalonga; 1035; 23684,21; 68; 1556,06; 4; 91,53
12131;Villamalur; 2; 1960,78; 0; 0,0; 0; 0,0
12133;Villanueva de Viver; 6; 10000,0; 0; 0,0; 0; 0,0
46258;Villar del Arzobispo; 963; 27234,16; 89; 2516,97; 3; 84,84
46259;Villargordo del Cabriel; 177; 30412,37; 4; 687,29; 2; 343,64
3140;Villena; 9885; 28941,59; 684; 2002,64; 73; 213,73
12137;Villores; 1; 2380,95; 0; 0,0; 0; 0,0
46260;Vinalesa; 793; 23241,5; 68; 1992,97; 3; 87,92
12138;Vinaros; 7713; 26750,6; 563; 1952,62; 46; 159,54
12139;Vistabella del Maestrazgo; 70; 21021,02; 6; 1801,8; 1; 300,3
12140;Viver; 574; 36513,99; 24; 1526,72; 13; 826,97
3081;Xalo; 213; 7426,78; 15; 523,01; 2; 69,74
46143;Xeraco; 1178; 20594,41; 97; 1695,8; 8; 139,86
46146;Xeresa; 469; 21347,29; 58; 2639,96; 2; 91,03
46110;Xirivella; 8713; 28853,86; 608; 2013,45; 51; 168,89
46145;Xativa; 7301; 24646,39; 496; 1674,37; 42; 141,78
46262;Yesa (La); 12; 5429,86; 2; 904,98; 0; 0,0
46261;Yatova; 222; 10678,21; 33; 1587,3; 0; 0,0
46263;Zarra; 55; 15895,95; 13; 3757,23; 0; 0,0
12141;Zorita del Maestrazgo; 11; 9909,91; 2; 1801,8; 0; 0,0
12142;Zucaina; 25; 15432,1; 2; 1234,57; 0; 0,0
46119;enova (l'); 176; 19512,2; 16; 1773,84; 6; 665,19